"","season","site","species","count"
"449","Winter1","Dugualla Bluff","Gasterosteus aculeatus",0
"450","Winter1","Dugualla Bluff","Hypomesus pretiosus",0
"451","Winter1","Dugualla Bluff","Mallotus villosus",0
"452","Winter1","Dugualla Bluff","Oncorhynchus tshawytscha",1
"453","Winter1","Dugualla Bluff","Oncorhynchus nerka",5
"454","Winter1","Dugualla Bluff","Oncorhynchus kisutch",0
"455","Winter1","Dugualla Bluff","Oncorhynchus gorbuscha",2
"456","Winter1","Dugualla Bluff","Ammodytes hexapterus",3
"457","Winter1","Dugualla Bluff","Clupea pallasii",4
"458","Winter1","Dugualla Bluff","Engraulis mordax",7
"459","Winter1","Dugualla Bluff","Cymatogaster aggregata",1
"460","Winter1","Dugualla Bluff","Gasterosteus aculeatus",0
"461","Winter1","Dugualla Bluff","Hypomesus pretiosus",21
"462","Winter1","Dugualla Bluff","Mallotus villosus",15
"463","Winter1","Random Middle 433","Oncorhynchus tshawytscha",1
"464","Winter1","Random Middle 433","Oncorhynchus nerka",19
"465","Winter1","Random Middle 433","Oncorhynchus kisutch",0
"466","Winter1","Random Middle 433","Oncorhynchus gorbuscha",1
"467","Winter1","Random Middle 433","Ammodytes hexapterus",20
"468","Winter1","Random Middle 433","Clupea pallasii",3
"469","Winter1","Random Middle 433","Engraulis mordax",1
"470","Winter1","Random Middle 433","Cymatogaster aggregata",6
"471","Winter1","Random Middle 433","Gasterosteus aculeatus",0
"472","Winter1","Random Middle 433","Hypomesus pretiosus",5
"473","Winter1","Random Middle 433","Mallotus villosus",7
"474","Winter1","Random Middle 433","Oncorhynchus tshawytscha",1
"475","Winter1","Random Middle 433","Oncorhynchus nerka",1
"476","Winter1","Random Middle 433","Oncorhynchus kisutch",0
"477","Winter1","Random Middle 433","Oncorhynchus gorbuscha",5
"478","Winter1","Random Middle 433","Ammodytes hexapterus",13
"479","Winter1","Random Middle 433","Clupea pallasii",2
"480","Winter1","Random Middle 433","Engraulis mordax",3
"481","Winter1","Random Middle 433","Cymatogaster aggregata",1
"482","Winter1","Random Middle 433","Gasterosteus aculeatus",1
"483","Winter1","Random Middle 433","Hypomesus pretiosus",16
"484","Winter1","Random Middle 433","Mallotus villosus",2
"485","Winter1","Random Middle 433","Oncorhynchus tshawytscha",1
"486","Winter1","Random Middle 433","Oncorhynchus nerka",2
"487","Winter1","Random Middle 433","Oncorhynchus kisutch",11
"488","Winter1","Random Middle 433","Oncorhynchus gorbuscha",1
"489","Winter1","Random Middle 433","Ammodytes hexapterus",1
"490","Winter1","Random Middle 433","Clupea pallasii",12
"491","Winter1","Random Middle 433","Engraulis mordax",0
"492","Winter1","Random Middle 433","Cymatogaster aggregata",4
"493","Winter1","Random Middle 433","Gasterosteus aculeatus",1
"494","Winter1","Random Middle 433","Hypomesus pretiosus",2
"495","Winter1","Random Middle 433","Mallotus villosus",0
"496","Winter1","Turner's Spit North","Oncorhynchus tshawytscha",30
"497","Winter1","Turner's Spit North","Oncorhynchus nerka",7
"498","Winter1","Turner's Spit North","Oncorhynchus kisutch",7
"499","Winter1","Turner's Spit North","Oncorhynchus gorbuscha",0
"500","Winter1","Turner's Spit North","Ammodytes hexapterus",2
"501","Winter1","Turner's Spit North","Clupea pallasii",15
"502","Winter1","Turner's Spit North","Engraulis mordax",3
"503","Winter1","Turner's Spit North","Cymatogaster aggregata",6
"504","Winter1","Turner's Spit North","Gasterosteus aculeatus",44
"505","Winter1","Turner's Spit North","Hypomesus pretiosus",1
"506","Winter1","Turner's Spit North","Mallotus villosus",8
"507","Winter2","Turner's Spit North","Oncorhynchus tshawytscha",0
"508","Winter2","Turner's Spit North","Oncorhynchus nerka",0
"509","Winter2","Turner's Spit North","Oncorhynchus kisutch",3
"510","Winter2","Turner's Spit North","Oncorhynchus gorbuscha",29
"511","Winter2","Turner's Spit North","Ammodytes hexapterus",0
"512","Winter2","Turner's Spit North","Clupea pallasii",0
"513","Winter2","Turner's Spit North","Engraulis mordax",0
"514","Winter2","Turner's Spit North","Cymatogaster aggregata",0
"515","Winter2","Turner's Spit North","Gasterosteus aculeatus",2
"516","Winter2","Turner's Spit North","Hypomesus pretiosus",0
"517","Winter2","Turner's Spit North","Mallotus villosus",8
"518","Winter2","Turner's Spit North","Oncorhynchus tshawytscha",3
"519","Winter2","Turner's Spit North","Oncorhynchus nerka",1
"520","Winter2","Turner's Spit North","Oncorhynchus kisutch",5
"521","Winter2","Turner's Spit North","Oncorhynchus gorbuscha",1
"522","Winter2","Turner's Spit North","Ammodytes hexapterus",0
"523","Winter2","Turner's Spit North","Clupea pallasii",8
"524","Winter2","Turner's Spit North","Engraulis mordax",4
"525","Winter2","Turner's Spit North","Cymatogaster aggregata",13
"526","Winter2","Turner's Spit North","Gasterosteus aculeatus",1
"527","Winter2","Turner's Spit North","Hypomesus pretiosus",3
"528","Winter2","Turner's Spit North","Mallotus villosus",8
"529","Winter2","Random near Camp Grande","Oncorhynchus tshawytscha",4
"530","Winter2","Random near Camp Grande","Oncorhynchus nerka",7
"531","Winter2","Random near Camp Grande","Oncorhynchus kisutch",1
"532","Winter2","Random near Camp Grande","Oncorhynchus gorbuscha",6
"533","Winter2","Random near Camp Grande","Ammodytes hexapterus",7
"534","Winter2","Random near Camp Grande","Clupea pallasii",5
"535","Winter2","Random near Camp Grande","Engraulis mordax",2
"536","Winter2","Random near Camp Grande","Cymatogaster aggregata",2
"537","Winter2","Random near Camp Grande","Gasterosteus aculeatus",0
"538","Winter2","Random near Camp Grande","Hypomesus pretiosus",0
"539","Winter2","Random near Camp Grande","Mallotus villosus",0
"540","Winter2","Random near Camp Grande","Oncorhynchus tshawytscha",6
"541","Winter2","Random near Camp Grande","Oncorhynchus nerka",2
"542","Winter2","Random near Camp Grande","Oncorhynchus kisutch",0
"543","Winter2","Random near Camp Grande","Oncorhynchus gorbuscha",2
"544","Winter2","Random near Camp Grande","Ammodytes hexapterus",1
"545","Winter2","Random near Camp Grande","Clupea pallasii",0
"546","Winter2","Random near Camp Grande","Engraulis mordax",5
"547","Winter2","Random near Camp Grande","Cymatogaster aggregata",7
"548","Winter2","Random near Camp Grande","Gasterosteus aculeatus",1
"549","Winter2","Random near Camp Grande","Hypomesus pretiosus",6
"550","Winter2","Random near Camp Grande","Mallotus villosus",1
"551","Winter2","Random near Camp Grande","Oncorhynchus tshawytscha",0
"552","Winter2","Random near Camp Grande","Oncorhynchus nerka",0
"553","Winter2","Random near Camp Grande","Oncorhynchus kisutch",4
"554","Winter2","Random near Camp Grande","Oncorhynchus gorbuscha",2
"555","Winter2","Random near Camp Grande","Ammodytes hexapterus",3
"556","Winter2","Random near Camp Grande","Clupea pallasii",0
"557","Winter2","Random near Camp Grande","Engraulis mordax",6
"558","Winter2","Random near Camp Grande","Cymatogaster aggregata",2
"559","Winter2","Random near Camp Grande","Gasterosteus aculeatus",0
"560","Winter2","Random near Camp Grande","Hypomesus pretiosus",4
"561","Winter2","Random near Camp Grande","Mallotus villosus",1
"562","Winter2","Goat Island","Oncorhynchus tshawytscha",22
"563","Winter2","Goat Island","Oncorhynchus nerka",1
"564","Winter2","Goat Island","Oncorhynchus kisutch",0
"565","Winter2","Goat Island","Oncorhynchus gorbuscha",1
"566","Winter2","Goat Island","Ammodytes hexapterus",5
"567","Winter2","Goat Island","Clupea pallasii",2
"568","Winter2","Goat Island","Engraulis mordax",6
"569","Winter2","Goat Island","Cymatogaster aggregata",14
"570","Winter2","Goat Island","Gasterosteus aculeatus",14
"571","Winter2","Goat Island","Hypomesus pretiosus",1
"572","Winter2","Goat Island","Mallotus villosus",14
"573","Winter2","Goat Island","Oncorhynchus tshawytscha",9
"574","Winter2","Goat Island","Oncorhynchus nerka",27
"575","Winter2","Goat Island","Oncorhynchus kisutch",6
"576","Winter2","Goat Island","Oncorhynchus gorbuscha",4
"577","Winter2","Goat Island","Ammodytes hexapterus",10
"578","Winter2","Goat Island","Clupea pallasii",3
"579","Winter2","Goat Island","Engraulis mordax",5
"580","Winter2","Goat Island","Cymatogaster aggregata",5
"581","Winter2","Goat Island","Gasterosteus aculeatus",1
"582","Winter2","Goat Island","Hypomesus pretiosus",0
"583","Winter2","Goat Island","Mallotus villosus",2
"584","Winter2","Goat Island","Oncorhynchus tshawytscha",1
"585","Winter2","Goat Island","Oncorhynchus nerka",22
"586","Winter2","Goat Island","Oncorhynchus kisutch",0
"587","Winter2","Goat Island","Oncorhynchus gorbuscha",4
"588","Winter2","Goat Island","Ammodytes hexapterus",0
"589","Winter2","Goat Island","Clupea pallasii",6
"590","Winter2","Goat Island","Engraulis mordax",7
"591","Winter2","Goat Island","Cymatogaster aggregata",0
"592","Winter2","Goat Island","Gasterosteus aculeatus",1
"593","Winter2","Goat Island","Hypomesus pretiosus",9
"594","Winter2","Goat Island","Mallotus villosus",4
"595","Winter2","Fir Island Farms","Oncorhynchus tshawytscha",5
"596","Winter2","Fir Island Farms","Oncorhynchus nerka",2
"597","Winter2","Fir Island Farms","Oncorhynchus kisutch",2
"598","Winter2","Fir Island Farms","Oncorhynchus gorbuscha",1
"599","Winter2","Fir Island Farms","Ammodytes hexapterus",2
"600","Winter2","Fir Island Farms","Clupea pallasii",3
"601","Winter2","Fir Island Farms","Engraulis mordax",31
"602","Winter2","Fir Island Farms","Cymatogaster aggregata",2
"603","Winter2","Fir Island Farms","Gasterosteus aculeatus",6
"604","Winter2","Fir Island Farms","Hypomesus pretiosus",1
"605","Winter2","Fir Island Farms","Mallotus villosus",9
"606","Winter2","Fir Island Farms","Oncorhynchus tshawytscha",1
"607","Winter2","Fir Island Farms","Oncorhynchus nerka",9
"608","Winter2","Fir Island Farms","Oncorhynchus kisutch",2
"609","Winter2","Fir Island Farms","Oncorhynchus gorbuscha",1
"610","Winter2","Fir Island Farms","Ammodytes hexapterus",4
"611","Winter2","Fir Island Farms","Clupea pallasii",1
"612","Winter2","Fir Island Farms","Engraulis mordax",7
"613","Winter2","Fir Island Farms","Cymatogaster aggregata",2
"614","Winter2","Fir Island Farms","Gasterosteus aculeatus",3
"615","Winter2","Fir Island Farms","Hypomesus pretiosus",3
"616","Winter2","Fir Island Farms","Mallotus villosus",2
"617","Winter2","Fir Island Farms","Oncorhynchus tshawytscha",1
"618","Winter2","Fir Island Farms","Oncorhynchus nerka",5
"619","Winter2","Fir Island Farms","Oncorhynchus kisutch",3
"620","Winter2","Fir Island Farms","Oncorhynchus gorbuscha",1
"621","Winter2","Fir Island Farms","Ammodytes hexapterus",3
"622","Winter2","Fir Island Farms","Clupea pallasii",8
"623","Winter2","Fir Island Farms","Engraulis mordax",2
"624","Winter2","Fir Island Farms","Cymatogaster aggregata",4
"625","Winter2","Fir Island Farms","Gasterosteus aculeatus",19
"626","Winter2","Fir Island Farms","Hypomesus pretiosus",12
"627","Winter2","Fir Island Farms","Mallotus villosus",12
"628","Winter2","Boat Ramp","Oncorhynchus tshawytscha",1
"629","Winter2","Boat Ramp","Oncorhynchus nerka",0
"630","Winter2","Boat Ramp","Oncorhynchus kisutch",0
"631","Winter2","Boat Ramp","Oncorhynchus gorbuscha",1
"632","Winter2","Boat Ramp","Ammodytes hexapterus",8
"633","Winter2","Boat Ramp","Clupea pallasii",13
"634","Winter2","Boat Ramp","Engraulis mordax",3
"635","Winter2","Boat Ramp","Cymatogaster aggregata",3
"636","Winter2","Boat Ramp","Gasterosteus aculeatus",22
"637","Winter2","Boat Ramp","Hypomesus pretiosus",37
"638","Winter2","Boat Ramp","Mallotus villosus",11
"639","Winter2","Boat Ramp","Oncorhynchus tshawytscha",3
"640","Winter2","Boat Ramp","Oncorhynchus nerka",2
"641","Winter2","Boat Ramp","Oncorhynchus kisutch",9
"642","Winter2","Boat Ramp","Oncorhynchus gorbuscha",7
"643","Winter2","Boat Ramp","Ammodytes hexapterus",0
"644","Winter2","Boat Ramp","Clupea pallasii",5
"645","Winter2","Boat Ramp","Engraulis mordax",6
"646","Winter2","Boat Ramp","Cymatogaster aggregata",1
"647","Winter2","Boat Ramp","Gasterosteus aculeatus",2
"648","Winter2","Boat Ramp","Hypomesus pretiosus",1
"649","Winter2","Boat Ramp","Mallotus villosus",2
"650","Winter2","Boat Ramp","Oncorhynchus tshawytscha",5
"651","Winter2","Boat Ramp","Oncorhynchus nerka",0
"652","Winter2","Boat Ramp","Oncorhynchus kisutch",3
"653","Winter2","Boat Ramp","Oncorhynchus gorbuscha",10
"654","Winter2","Boat Ramp","Ammodytes hexapterus",0
"655","Winter2","Boat Ramp","Clupea pallasii",4
"656","Winter2","Boat Ramp","Engraulis mordax",0
"657","Winter2","Boat Ramp","Cymatogaster aggregata",2
"658","Winter2","Boat Ramp","Gasterosteus aculeatus",1
"659","Winter2","Boat Ramp","Hypomesus pretiosus",5
"660","Winter2","Boat Ramp","Mallotus villosus",2
"661","Winter2","Freshwater Pond","Oncorhynchus tshawytscha",4
"662","Winter2","Freshwater Pond","Oncorhynchus nerka",2
"663","Winter2","Freshwater Pond","Oncorhynchus kisutch",3
"664","Winter2","Freshwater Pond","Oncorhynchus gorbuscha",4
"665","Winter2","Freshwater Pond","Ammodytes hexapterus",0
"666","Winter2","Freshwater Pond","Clupea pallasii",17
"667","Winter2","Freshwater Pond","Engraulis mordax",2
"668","Winter2","Freshwater Pond","Cymatogaster aggregata",1
"669","Winter2","Freshwater Pond","Gasterosteus aculeatus",7
"670","Winter2","Freshwater Pond","Hypomesus pretiosus",3
"671","Winter2","Freshwater Pond","Mallotus villosus",0
"672","Winter2","Freshwater Pond","Oncorhynchus tshawytscha",2
"673","Winter2","Freshwater Pond","Oncorhynchus nerka",1
"674","Winter2","Freshwater Pond","Oncorhynchus kisutch",0
"675","Winter2","Freshwater Pond","Oncorhynchus gorbuscha",4
"676","Winter2","Freshwater Pond","Ammodytes hexapterus",2
"677","Winter2","Freshwater Pond","Clupea pallasii",2
"678","Winter2","Freshwater Pond","Engraulis mordax",4
"679","Winter2","Freshwater Pond","Cymatogaster aggregata",0
"680","Winter2","Freshwater Pond","Gasterosteus aculeatus",0
"681","Winter2","Freshwater Pond","Hypomesus pretiosus",6
"682","Winter2","Freshwater Pond","Mallotus villosus",5
"683","Winter2","Freshwater Pond","Oncorhynchus tshawytscha",5
"684","Winter2","Freshwater Pond","Oncorhynchus nerka",9
"685","Winter2","Freshwater Pond","Oncorhynchus kisutch",5
"686","Winter2","Freshwater Pond","Oncorhynchus gorbuscha",12
"687","Winter2","Freshwater Pond","Ammodytes hexapterus",3
"688","Winter2","Freshwater Pond","Clupea pallasii",3
"689","Winter2","Freshwater Pond","Engraulis mordax",4
"690","Winter2","Freshwater Pond","Cymatogaster aggregata",21
"691","Winter2","Freshwater Pond","Gasterosteus aculeatus",1
"692","Winter2","Freshwater Pond","Hypomesus pretiosus",2
"693","Winter2","Freshwater Pond","Mallotus villosus",3
"694","Winter2","Deepwater","Oncorhynchus tshawytscha",0
"695","Winter2","Deepwater","Oncorhynchus nerka",5
"696","Winter2","Deepwater","Oncorhynchus kisutch",0
"697","Winter2","Deepwater","Oncorhynchus gorbuscha",1
"698","Winter2","Deepwater","Ammodytes hexapterus",3
"699","Winter2","Deepwater","Clupea pallasii",3
"700","Winter2","Deepwater","Engraulis mordax",5
"701","Winter2","Deepwater","Cymatogaster aggregata",10
"702","Winter2","Deepwater","Gasterosteus aculeatus",8
"703","Winter2","Deepwater","Hypomesus pretiosus",1
"704","Winter2","Deepwater","Mallotus villosus",1
"705","Winter2","Deepwater","Oncorhynchus tshawytscha",1
"706","Winter2","Deepwater","Oncorhynchus nerka",1
"707","Winter2","Deepwater","Oncorhynchus kisutch",9
"708","Winter2","Deepwater","Oncorhynchus gorbuscha",2
"709","Winter2","Deepwater","Ammodytes hexapterus",12
"710","Winter2","Deepwater","Clupea pallasii",1
"711","Winter2","Deepwater","Engraulis mordax",4
"712","Winter2","Deepwater","Cymatogaster aggregata",0
"713","Winter2","Deepwater","Gasterosteus aculeatus",3
"714","Winter2","Deepwater","Hypomesus pretiosus",0
"715","Winter2","Deepwater","Mallotus villosus",6
"716","Winter2","Deepwater","Oncorhynchus tshawytscha",5
"717","Winter2","Deepwater","Oncorhynchus nerka",10
"718","Winter2","Deepwater","Oncorhynchus kisutch",45
"719","Winter2","Deepwater","Oncorhynchus gorbuscha",4
"720","Winter2","Deepwater","Ammodytes hexapterus",8
"721","Winter2","Deepwater","Clupea pallasii",8
"722","Winter2","Deepwater","Engraulis mordax",9
"723","Winter2","Deepwater","Cymatogaster aggregata",0
"724","Winter2","Deepwater","Gasterosteus aculeatus",12
"725","Winter2","Deepwater","Hypomesus pretiosus",4
"726","Winter2","Deepwater","Mallotus villosus",11
"727","Winter2","Tom Moore","Oncorhynchus tshawytscha",2
"728","Winter2","Tom Moore","Oncorhynchus nerka",4
"729","Winter2","Tom Moore","Oncorhynchus kisutch",1
"730","Winter2","Tom Moore","Oncorhynchus gorbuscha",1
"731","Winter2","Tom Moore","Ammodytes hexapterus",0
"732","Winter2","Tom Moore","Clupea pallasii",2
"733","Winter2","Tom Moore","Engraulis mordax",2
"734","Winter2","Tom Moore","Cymatogaster aggregata",4
"735","Winter2","Tom Moore","Gasterosteus aculeatus",0
"736","Winter2","Tom Moore","Hypomesus pretiosus",1
"737","Winter2","Tom Moore","Mallotus villosus",1
"738","Winter2","Tom Moore","Oncorhynchus tshawytscha",0
"739","Winter2","Tom Moore","Oncorhynchus nerka",25
"740","Winter2","Tom Moore","Oncorhynchus kisutch",10
"741","Winter2","Tom Moore","Oncorhynchus gorbuscha",0
"742","Winter2","Tom Moore","Ammodytes hexapterus",0
"743","Winter2","Tom Moore","Clupea pallasii",10
"744","Winter2","Tom Moore","Engraulis mordax",2
"745","Winter2","Tom Moore","Cymatogaster aggregata",1
"746","Winter2","Tom Moore","Gasterosteus aculeatus",0
"747","Winter2","Tom Moore","Hypomesus pretiosus",1
"748","Winter2","Tom Moore","Mallotus villosus",7
"749","Winter2","Tom Moore","Oncorhynchus tshawytscha",3
"750","Winter2","Tom Moore","Oncorhynchus nerka",5
"751","Winter2","Tom Moore","Oncorhynchus kisutch",8
"752","Winter2","Tom Moore","Oncorhynchus gorbuscha",5
"753","Winter2","Tom Moore","Ammodytes hexapterus",5
"754","Winter2","Tom Moore","Clupea pallasii",0
"755","Winter2","Tom Moore","Engraulis mordax",1
"756","Winter2","Tom Moore","Cymatogaster aggregata",0
"757","Winter2","Tom Moore","Gasterosteus aculeatus",5
"758","Winter2","Tom Moore","Hypomesus pretiosus",0
"759","Winter2","Tom Moore","Mallotus villosus",16
